gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Xesp_011304	109	0.0047697	16	0.083	0.02	1	0	0.0022324	1	1	1	0.0009596	0.0009587	-0.000958346328843963	0	16	750	no	-10.0252792219181
Xesp_011305	2743	0.2025827	600	0.322	0.049	1	0	0.0565365	4	3	3	0.0394027	0.0456494	0.210337153183132	0.115724636794139	600	750	no	-4.66556169859183
Xesp_011306	161	0.0068846	46	0.1	0.022	1	0	0.0029535	1	1	1	0.0027588	0.0027513	-0.00343416071198598	-0.0539890993636372	46	750	no	-8.5017434127722
Xesp_011307	1177	0.0510558	369	0.205	0.021	1	0	0.0258338	3	2	2	0.0223702	0.0224708	0.00636106316828218	-0.0658647961719755	369	750	no	-5.48227803495488
Xesp_011308	2225	0.1508151	629	0.225	-0.013	1	0	0.0497736	4	3	3	0.0413818	0.0479486	0.210619587632494	0.131883257376668	629	750	no	-4.59485978975335
Xesp_011309	738	0.0323881	217	0.167	0.02	1	0	0.0163204	2	2	2	0.0133141	0.0137374	0.043870387620221	-0.0238332202625366	217	750	no	-6.2309012805218
Xesp_011310	102	0.0040201	27	0.065	0.005	1	0	0.002444	1	1	1	0.0016193	0.0016168	-0.00179104618879863	0	27	750	no	-9.27041399301938
Xesp_011311	1295	0.0599382	336	0.215	0.019	1	0	0.0311801	3	2	2	0.0210507	0.0225281	0.0961106722643416	0.0466236799086689	336	750	no	-5.56998798167367
Xesp_011312	387	0.017217	105	0.107	-0.00800000000000001	1	0	0.0101321	2	1	1	0.0063572	0.0064371	0.0169696790969186	-0.0256563851524167	105	750	no	-7.29739280776627
Xesp_011315	23	0.0009093	6	0.021	-0.007	1	0	0.0005155	1	1	1	0.0003598	0.0003597	-0.000190968958196353	0	6	750	no	-11.4405171929601
Xesp_011318	283	0.012894	77	0.054	-0.044	1	0	0.009685	2	2	2	0.0048579	0.0053144	0.120209420649493	0.0934584964358975	77	750	no	-7.68545149229823
Xesp_011319	91	0.0036673	25	0.056	-0.001	1	0	0.0024951	1	1	1	0.0014993	0.0014972	-0.00159964260032785	0	25	750	no	-9.38149519876903
Xesp_011320	1451	0.0629872	430	0.236	0.023	1	0	0.0333008	2	2	2	0.0265083	0.0272466	0.0390569623188535	-0.0438509704793928	430	750	no	-5.23741203787249
Xesp_011321	666	0.0289057	175	0.186	0.037	1	0	0.0134844	2	2	2	0.0106753	0.0109218	0.0317697358003275	-0.0152164227702329	175	750	no	-6.54957957637573
Xesp_011322	13081	0.9977798	3277	0.524	0.108	0.791459781529295	-0.0389105367898674	0.2949729	6	4	4	0.2333573	0.2651596	0.184027434769619	-0.259533504898826	3277	750	no	-2.09938749577014
Xesp_011323	6453	0.4655011	1501	0.444	0.094	1	0	0.1415911	4	4	4	0.1004558	0.1138809	0.180297458958404	-0.00328135101454899	1501	750	no	-3.31536723176516
Xesp_011324	80	0.0032349	20	0.037	-0.014	1	0	0.0023211	1	1	1	0.0011995	0.0011981	-0.00126670422633156	0	20	750	no	-9.70335112703074
Xesp_011325	824	0.0358184	269	0.153	-0.016	1	0	0.0210156	2	2	1	0.0162528	0.0162296	-0.0020118236721987	-0.0518027000003881	269	750	no	-5.94316790559474
Xesp_011326	290	0.0121358	92	0.097	-0.00599999999999999	1	0	0.0075165	2	1	1	0.0055775	0.0056667	0.0213849794632688	-0.000359211546876188	92	750	no	-7.48616567619267
Xesp_011327	161	0.0066472	54	0.073	-0.00600000000000001	1	0	0.0037775	1	1	1	0.0032386	0.0032283	-0.0040945471833154	-0.0469588116584075	54	750	no	-8.27041399301938
Xesp_011328	2346	0.1100203	672	0.3	0.054	1	0	0.0504987	3	2	2	0.0419815	0.0437002	0.057356240220613	-0.0286072710849381	672	750	no	-4.57410247469539
Xesp_011329	493	0.0215822	129	0.135	0.00600000000000001	1	0	0.0121418	2	2	1	0.0078565	0.0080352	0.0309078216764734	-0.0198582294343243	129	750	no	-6.99189753670931
Xesp_011330	251	0.0103089	66	0.101	0.01	1	0	0.0055675	1	1	1	0.0039583	0.0039428	-0.00514506593508447	-0.039361994073916	66	750	no	-7.98090332611432
Xesp_011332	131	0.0055529	41	0.04	-0.023	1	0	0.0042511	2	1	1	0.0025189	0.0026327	0.0552576766553781	0.0582425704682932	41	750	no	-8.63299043625718
Xesp_011333	160	0.0070038	49	0.053	-0.022	1	0	0.0046993	1	1	1	0.0029387	0.0029302	-0.00368237942640423	-0.000109123263504763	49	750	no	-8.41060619705881
Xesp_011334	181	0.0082985	53	0.064	-0.01	1	0	0.0055504	2	2	1	0.0032985	0.0035278	0.0868789862078912	0.044813473361522	53	750	no	-8.24397417974805
Xesp_011335	17	0.0006723	7	0.005	-0.019	1	0	0.0006369	1	1	1	0.0004198	0.0004197	-0.000176917833038113	0	7	750	no	-11.2180102129194
Xesp_011336	205	0.0085214	49	0.095	0.01	1	0	0.0052389	2	1	1	0.0029987	0.0031098	0.0464635096876819	0.000956249896803249	49	750	no	-8.38144708728416
Xesp_011337	207	0.0085993	56	0.081	-0.00599999999999999	1	0	0.0053924	1	1	1	0.0033585	0.0033474	-0.00427190636821471	-0.0455253063502913	56	750	no	-8.21796725575042
